Employee ID,Joining Date,Salary,Total Customers Handled,Overall Sentiment Score,Feedback ID,Customer ID,Feedback Date,Feedback Text,Sentiment Score,Rating,Improvement Areas
1,2021-11-21,47295,247,0.04,F1001,C19967,2022-10-27,"Great service, solved my issue quickly!",0.11,1,Time Management
1,2021-11-21,47295,247,0.04,F1002,C23252,2023-01-17,"Employee was rude, and the issue took too long to resolve.",-0.64,2,Problem Solving
1,2021-11-21,47295,247,0.04,F1003,C9423,2024-03-19,"Had a great experience, but communication could be better.",0.64,5,None
1,2021-11-21,47295,247,0.04,F1004,C29393,2024-05-17,The employee needs to be more polite and resolve issues faster.,0.16,1,None
1,2021-11-21,47295,247,0.04,F1005,C63499,2022-04-06,"Communication was unclear, but the problem was solved eventually.",-0.05,4,Behavior
2,2020-11-02,46372,477,0.17,F2001,C7664,2022-03-19,The employee needs to be more polite and resolve issues faster.,0.04,3,Communication Skills
2,2020-11-02,46372,477,0.17,F2002,C29338,2024-09-03,It took too long to resolve the issue.,-0.56,1,Language
2,2020-11-02,46372,477,0.17,F2003,C16792,2023-09-23,"Had a great experience, but communication could be better.",0.74,1,None
2,2020-11-02,46372,477,0.17,F2004,C48046,2023-05-27,The employee needs to be more polite and resolve issues faster.,0.18,3,Communication Skills
2,2020-11-02,46372,477,0.17,F2005,C71311,2023-04-06,"Satisfied with the service, but there’s room for improvement in tone.",0.15,2,Patience
2,2020-11-02,46372,477,0.17,F2006,C6045,2022-01-28,Employee was very helpful and resolved the issue in no time.,0.47,5,Empathy
3,2020-04-04,58581,456,-0.01,F3001,C69401,2022-12-02,"Employee was rude, and the issue took too long to resolve.",-0.79,3,Technical Knowledge
3,2020-04-04,58581,456,-0.01,F3002,C69496,2022-09-21,"Excellent service, highly recommend!",0.21,4,Communication Skills
3,2020-04-04,58581,456,-0.01,F3003,C59810,2022-02-22,"Communication was unclear, but the problem was solved eventually.",0.28,1,Politeness
3,2020-04-04,58581,456,-0.01,F3004,C28760,2020-06-25,"Employee was rude, and the issue took too long to resolve.",-0.94,4,Politeness
3,2020-04-04,58581,456,-0.01,F3005,C36571,2021-11-27,"Excellent service, highly recommend!",0.44,3,Listening Skills
3,2020-04-04,58581,456,-0.01,F3006,C62140,2021-10-24,"Satisfied with the service, but there’s room for improvement in tone.",0.25,1,Listening Skills
3,2020-04-04,58581,456,-0.01,F3007,C97290,2024-09-10,"Satisfied with the service, but there’s room for improvement in tone.",0.47,3,Politeness
4,2024-04-19,45385,461,0.22,F4001,C41370,2024-09-27,The employee needs to be more polite and resolve issues faster.,0.05,5,Clarity of Explanation
4,2024-04-19,45385,461,0.22,F4002,C35331,2024-06-10,"Excellent service, highly recommend!",0.18,2,None
4,2024-04-19,45385,461,0.22,F4003,C70478,2024-06-09,"Had a great experience, but communication could be better.",0.74,5,None
4,2024-04-19,45385,461,0.22,F4004,C69945,2024-08-23,"The service was good, but the employee could improve voice modulation.",0.58,1,None
4,2024-04-19,45385,461,0.22,F4005,C45153,2024-07-14,"Communication was unclear, but the problem was solved eventually.",0.19,5,Listening Skills
4,2024-04-19,45385,461,0.22,F4006,C25778,2024-05-09,"Had a great experience, but communication could be better.",0.58,1,None
4,2024-04-19,45385,461,0.22,F4007,C43135,2024-05-15,"The service was good, but the employee could improve voice modulation.",0.55,5,None
4,2024-04-19,45385,461,0.22,F4008,C37429,2024-08-24,It took too long to resolve the issue.,-0.92,2,Time Management
4,2024-04-19,45385,461,0.22,F4009,C75413,2024-05-09,The employee needs to be more polite and resolve issues faster.,0.04,3,Language
5,2023-01-14,52817,395,0.14,F5001,C715,2023-12-29,"Great service, solved my issue quickly!",-0.08,2,Communication Skills
5,2023-01-14,52817,395,0.14,F5002,C87293,2023-11-16,"Communication was unclear, but the problem was solved eventually.",0.4,5,Voice Modulation
5,2023-01-14,52817,395,0.14,F5003,C62835,2023-06-08,It took too long to resolve the issue.,-0.78,5,Voice Modulation
5,2023-01-14,52817,395,0.14,F5004,C19718,2024-06-29,"Great service, solved my issue quickly!",0.4,5,Behavior
5,2023-01-14,52817,395,0.14,F5005,C95445,2023-08-29,"Great service, solved my issue quickly!",0.27,1,Communication Skills
5,2023-01-14,52817,395,0.14,F5006,C51657,2024-02-07,"The service was good, but the employee could improve voice modulation.",0.63,1,None
6,2019-10-12,52285,484,0.43,F6001,C78332,2024-01-14,"Satisfied with the service, but there’s room for improvement in tone.",0.27,1,Communication Skills
